Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
dairy-queen,Small Choco Brownie Extreme Blizzard,620,260,29.0,16.0,0.1,45.0,360.0,88.0,3.0,69.0,14.0,45.0,80.0,15.0,15.0,29.0,12.0,28.0,0.0,0.0,35.0,20.0,Blizzards,30.0,30.0,18.0
dairy-queen,Medium Choco Brownie Extreme Blizzard,800,330,37.0,21.0,0.1,60.0,470.0,115.0,4.0,90.0,17.0,57.0,105.0,20.0,20.0,38.0,16.0,34.0,0.0,0.0,45.0,30.0,Blizzards,39.0,39.0,23.0
dairy-queen,Large Choco Brownie Extreme Blizzard,1110,470,52.0,28.0,0.2,80.0,650.0,160.0,6.0,124.0,23.0,80.0,140.0,27.0,27.0,53.0,24.0,46.0,0.0,0.0,60.0,45.0,Blizzards,54.0,54.0,32.0
dairy-queen,Mini Chocolate Chip Cookie Dough Blizzard,410,150,17.0,10.0,0.1,35.0,280.0,63.0,1.0,47.0,9.0,26.0,50.0,12.0,12.0,21.0,4.0,18.0,0.0,0.0,25.0,8.0,Blizzards,20.0,20.0,12.0
dairy-queen,Small Chocolate Chip Cookie Dough Blizzard,700,260,29.0,17.0,0.1,50.0,470.0,106.0,1.0,78.0,14.0,45.0,85.0,17.0,20.0,35.0,4.0,28.0,0.0,0.0,35.0,15.0,Blizzards,34.0,34.0,20.0
dairy-queen,Medium Chocolate Chip Cookie Dough Blizzard,1020,380,43.0,25.0,0.2,70.0,680.0,154.0,2.0,113.0,19.0,66.0,125.0,23.0,28.0,51.0,8.0,38.0,0.0,0.0,50.0,25.0,Blizzards,50.0,50.0,29.0
dairy-queen,Large Chocolate Chip Cookie Dough Blizzard,1330,500,55.0,33.0,0.2,85.0,880.0,199.0,3.0,146.0,24.0,85.0,165.0,28.0,37.0,66.0,12.0,48.0,0.0,0.0,60.0,35.0,Blizzards,65.0,65.0,38.0
dairy-queen,Cotton Candy Blizzard Mini,390,150,16.0,10.0,0.0,35.0,180.0,57.0,0.0,50.0,8.0,25.0,50.0,12.0,8.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,Blizzards,20.0,20.0,11.0
dairy-queen,Cotton Candy Blizzard Small,600,210,23.0,15.0,0.0,60.0,320.0,94.0,0.0,82.0,14.0,35.0,75.0,20.0,13.0,31.0,0.0,28.0,0.0,0.0,0.0,0.0,Blizzards,31.0,31.0,17.0
dairy-queen,Cotton Candy Blizzard Medium,860,320,35.0,22.0,0.1,75.0,420.0,131.0,0.0,116.0,19.0,54.0,110.0,25.0,18.0,44.0,0.0,38.0,0.0,0.0,0.0,0.0,Blizzards,44.0,44.0,25.0
dairy-queen,Cotton Candy Blizzard Large,1140,430,48.0,30.0,0.1,95.0,540.0,171.0,0.0,153.0,24.0,74.0,150.0,32.0,23.0,57.0,0.0,48.0,0.0,0.0,0.0,0.0,Blizzards,59.0,59.0,33.0
dairy-queen,Mini Frosted Sugar Cookie Blizzard,390,153,17.0,8.0,0.0,40.0,220.0,55.0,0.0,43.0,9.0,26.0,40.0,13.0,9.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,Blizzards,18.0,18.0,11.0
dairy-queen,Small Frosted Sugar Cookie Blizzard,690,279,31.0,14.0,0.1,65.0,390.0,97.0,0.0,76.0,14.0,48.0,70.0,22.0,16.0,32.0,0.0,28.0,0.0,0.0,0.0,0.0,Blizzards,33.0,33.0,20.0
dairy-queen,Medium Frosted Sugar Cookie Blizzard,950,396,44.0,20.0,0.1,85.0,530.0,133.0,1.0,102.0,19.0,68.0,100.0,28.0,22.0,44.0,4.0,38.0,0.0,0.0,0.0,0.0,Blizzards,45.0,45.0,27.0
dairy-queen,Large Frosted Sugar Cookie Blizzard,1230,513,57.0,26.0,0.1,110.0,680.0,172.0,1.0,132.0,24.0,88.0,130.0,37.0,28.0,57.0,4.0,48.0,0.0,0.0,0.0,0.0,Blizzards,58.0,58.0,35.0
dairy-queen,Girl Guides Chocolatey Mint Blizzard Mini,370,140,15.0,10.0,0.0,35.0,210.0,54.0,0.0,43.0,9.0,23.0,50.0,12.0,9.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,Blizzards,18.0,18.0,11.0
dairy-queen,Girl Guides Chocolatey Mint Blizzard Small,650,250,28.0,18.0,0.0,55.0,370.0,94.0,0.0,74.0,15.0,43.0,90.0,18.0,15.0,31.0,0.0,30.0,0.0,0.0,0.0,0.0,Blizzards,32.0,32.0,19.0
dairy-queen,Girl Guides Chocolatey Mint Blizzard Medium,890,340,38.0,25.0,0.0,70.0,500.0,128.0,0.0,101.0,19.0,58.0,125.0,23.0,21.0,43.0,0.0,38.0,0.0,0.0,0.0,0.0,Blizzards,44.0,44.0,25.0
dairy-queen,Girl Guides Chocolatey Mint Blizzard Large,1150,450,50.0,33.0,0.0,90.0,650.0,166.0,0.0,129.0,25.0,77.0,165.0,30.0,27.0,55.0,0.0,50.0,0.0,0.0,0.0,0.0,Blizzards,57.0,57.0,33.0
dairy-queen,Mini Mint Oreo Blizzard,450,130,14.0,7.0,0.0,35.0,250.0,63.0,0.0,47.0,9.0,22.0,35.0,12.0,10.0,21.0,0.0,18.0,0.0,0.0,25.0,8.0,Blizzards,20.0,20.0,11.0
dairy-queen,Small Mint Oreo Blizzard,750,210,23.0,11.0,0.1,50.0,410.0,104.0,1.0,76.0,14.0,35.0,55.0,17.0,17.0,35.0,4.0,28.0,0.0,0.0,35.0,15.0,Blizzards,34.0,34.0,18.0
dairy-queen,Medium Mint Oreo Blizzard,1000,270,30.0,14.0,0.1,55.0,530.0,136.0,1.0,97.0,16.0,46.0,70.0,18.0,22.0,45.0,4.0,32.0,0.0,0.0,40.0,20.0,Blizzards,44.0,44.0,24.0
dairy-queen,Large Mint Oreo Blizzard,1420,390,43.0,21.0,0.1,85.0,760.0,195.0,2.0,141.0,25.0,66.0,105.0,28.0,32.0,65.0,8.0,50.0,0.0,0.0,60.0,30.0,Blizzards,63.0,63.0,34.0
dairy-queen,Mini Nestle Drumstick with Peanuts Blizzard,390,190,21.0,15.0,0.0,30.0,160.0,48.0,1.0,38.0,9.0,32.0,75.0,10.0,7.0,16.0,4.0,18.0,0.0,0.0,0.0,0.0,Blizzards,20.0,20.0,11.0
dairy-queen,Small Nestle Drumstick with Peanuts Blizzard,660,310,35.0,23.0,0.0,50.0,280.0,85.0,2.0,68.0,17.0,54.0,115.0,17.0,12.0,28.0,8.0,34.0,0.0,0.0,0.0,0.0,Blizzards,33.0,33.0,20.0
dairy-queen,Medium Nestle Drumstick with Peanuts Blizzard,990,490,55.0,38.0,0.0,70.0,380.0,121.0,3.0,96.0,24.0,85.0,190.0,23.0,16.0,40.0,12.0,48.0,0.0,0.0,0.0,0.0,Blizzards,50.0,50.0,29.0
dairy-queen,Large Nestle Drumstick with Peanuts Blizzard,1330,680,75.0,52.0,0.0,90.0,500.0,159.0,5.0,127.0,31.0,115.0,260.0,30.0,21.0,53.0,20.0,62.0,0.0,0.0,0.0,0.0,Blizzards,67.0,67.0,39.0
dairy-queen,Mini Oreo Blizzard,420,130,14.0,7.0,0.0,35.0,250.0,58.0,0.0,43.0,9.0,22.0,35.0,12.0,10.0,19.0,0.0,18.0,0.0,0.0,25.0,8.0,Blizzards,19.0,19.0,11.0
dairy-queen,Small Oreo Blizzard,710,210,23.0,11.0,0.1,50.0,400.0,94.0,1.0,68.0,14.0,35.0,55.0,17.0,17.0,31.0,4.0,28.0,0.0,0.0,35.0,15.0,Blizzards,31.0,31.0,17.0
dairy-queen,Medium Oreo Blizzard,940,270,30.0,14.0,0.1,55.0,520.0,120.0,1.0,85.0,16.0,46.0,70.0,18.0,22.0,40.0,4.0,32.0,0.0,0.0,40.0,20.0,Blizzards,41.0,41.0,22.0
dairy-queen,Large Oreo Blizzard,1340,390,43.0,21.0,0.1,85.0,750.0,174.0,2.0,125.0,25.0,66.0,105.0,28.0,31.0,58.0,8.0,50.0,0.0,0.0,60.0,30.0,Blizzards,59.0,59.0,32.0
dairy-queen,Mini Oreo Dirt Pie Blizzard,490,170,19.0,9.0,0.0,30.0,290.0,68.0,1.0,50.0,10.0,29.0,45.0,10.0,12.0,23.0,4.0,20.0,0.0,0.0,0.0,0.0,Blizzards,22.0,22.0,13.0
dairy-queen,Small Oreo Dirt Pie Blizzard,880,300,34.0,15.0,0.0,50.0,510.0,119.0,3.0,85.0,16.0,52.0,75.0,17.0,21.0,40.0,12.0,32.0,0.0,0.0,0.0,0.0,Blizzards,40.0,40.0,23.0
dairy-queen,Medium Oreo Dirt Pie Blizzard,1240,430,48.0,20.0,0.0,65.0,710.0,165.0,4.0,117.0,22.0,74.0,100.0,22.0,30.0,55.0,16.0,44.0,0.0,0.0,0.0,0.0,Blizzards,55.0,55.0,32.0
dairy-queen,Large Oreo Dirt Pie Blizzard,1660,570,64.0,27.0,0.0,85.0,950.0,222.0,5.0,157.0,29.0,98.0,135.0,28.0,40.0,74.0,20.0,58.0,0.0,0.0,0.0,0.0,Blizzards,74.0,74.0,43.0
dairy-queen,Mini Reese Peanut Butter Cups Blizzard,350,130,15.0,8.0,0.0,35.0,240.0,52.0,1.0,44.0,10.0,23.0,40.0,12.0,10.0,17.0,4.0,20.0,0.0,0.0,25.0,4.0,Blizzards,17.0,17.0,10.0
dairy-queen,Small Reese Peanut Butter Cups Blizzard,570,220,25.0,13.0,0.0,55.0,380.0,81.0,1.0,69.0,16.0,38.0,65.0,18.0,16.0,27.0,4.0,32.0,0.0,0.0,40.0,8.0,Blizzards,28.0,28.0,17.0
dairy-queen,Medium Reese Peanut Butter Cups Blizzard,740,300,33.0,17.0,0.1,65.0,500.0,105.0,2.0,89.0,21.0,51.0,85.0,22.0,21.0,35.0,8.0,42.0,0.0,0.0,50.0,10.0,Blizzards,36.0,36.0,22.0
dairy-queen,Large Reese Peanut Butter Cups Blizzard,990,400,44.0,22.0,0.1,90.0,670.0,141.0,3.0,120.0,28.0,68.0,110.0,30.0,28.0,47.0,12.0,56.0,0.0,0.0,70.0,15.0,Blizzards,48.0,48.0,29.0
dairy-queen,Mini Royal Oreo Blizzard,520,170,18.0,11.0,0.0,35.0,300.0,72.0,1.0,56.0,10.0,28.0,55.0,12.0,13.0,24.0,4.0,20.0,0.0,0.0,25.0,10.0,Blizzards,25.0,25.0,13.0
dairy-queen,Small Royal Oreo Blizzard,860,270,29.0,17.0,0.1,55.0,490.0,117.0,1.0,88.0,16.0,45.0,85.0,18.0,20.0,39.0,4.0,32.0,0.0,0.0,45.0,20.0,Blizzards,40.0,40.0,22.0
dairy-queen,Medium Royal Oreo Blizzard,1210,370,41.0,23.0,0.1,70.0,680.0,162.0,2.0,122.0,22.0,63.0,115.0,23.0,28.0,54.0,8.0,44.0,0.0,0.0,60.0,25.0,Blizzards,56.0,56.0,30.0
dairy-queen,Large Royal Oreo Blizzard,1530,460,51.0,28.0,0.2,90.0,860.0,203.0,3.0,151.0,27.0,78.0,140.0,30.0,36.0,68.0,12.0,54.0,0.0,0.0,70.0,35.0,Blizzards,70.0,70.0,37.0
dairy-queen,Mini Royal Reese's Brownie Blizzard,520,250,28.0,11.0,0.0,35.0,390.0,64.0,2.0,49.0,13.0,43.0,55.0,12.0,16.0,21.0,8.0,26.0,0.0,0.0,25.0,10.0,Blizzards,23.0,23.0,15.0
dairy-queen,Small Royal Reese's Brownie Blizzard,840,380,42.0,18.0,0.1,60.0,610.0,109.0,4.0,85.0,21.0,65.0,90.0,20.0,25.0,36.0,16.0,42.0,0.0,0.0,45.0,20.0,Blizzards,39.0,39.0,24.0
dairy-queen,Medium Royal Reese's Brownie Blizzard,1160,530,59.0,25.0,0.1,75.0,850.0,146.0,5.0,113.0,28.0,91.0,125.0,25.0,35.0,49.0,20.0,56.0,0.0,0.0,60.0,30.0,Blizzards,53.0,53.0,33.0
dairy-queen,Large Royal Reese's Brownie Blizzard,1490,670,75.0,32.0,0.2,105.0,1090.0,194.0,7.0,152.0,36.0,115.0,160.0,35.0,45.0,65.0,28.0,72.0,0.0,0.0,80.0,35.0,Blizzards,69.0,69.0,43.0
dairy-queen,Mini Skor Blizzard,370,140,16.0,10.0,0.2,45.0,230.0,54.0,0.0,47.0,9.0,25.0,50.0,15.0,10.0,18.0,0.0,18.0,0.0,0.0,25.0,2.0,Blizzards,19.0,19.0,11.0
dairy-queen,Small Skor Blizzard,590,230,26.0,17.0,0.3,70.0,360.0,85.0,1.0,74.0,13.0,40.0,85.0,23.0,15.0,28.0,4.0,26.0,0.0,0.0,35.0,6.0,Blizzards,30.0,30.0,17.0
dairy-queen,Medium Skor Blizzard,840,340,38.0,25.0,0.5,95.0,510.0,122.0,1.0,107.0,17.0,58.0,125.0,32.0,21.0,41.0,4.0,34.0,0.0,0.0,50.0,8.0,Blizzards,44.0,44.0,24.0
dairy-queen,Large Skor Blizzard,1130,460,51.0,34.0,0.5,125.0,670.0,162.0,2.0,143.0,23.0,78.0,170.0,42.0,28.0,54.0,8.0,46.0,0.0,0.0,70.0,15.0,Blizzards,59.0,59.0,33.0
dairy-queen,Mini Smarties Blizzard,360,110,12.0,8.0,0.0,35.0,180.0,60.0,1.0,52.0,9.0,18.0,40.0,12.0,8.0,20.0,4.0,18.0,15.0,0.0,30.0,4.0,Blizzards,19.0,19.0,10.0
dairy-queen,Small Smarties Blizzard,630,190,21.0,13.0,0.0,60.0,320.0,106.0,1.0,92.0,16.0,32.0,65.0,20.0,13.0,35.0,4.0,32.0,0.0,0.0,45.0,8.0,Blizzards,32.0,32.0,18.0
dairy-queen,Medium Smarties Blizzard,860,260,28.0,18.0,0.0,80.0,420.0,142.0,2.0,124.0,21.0,43.0,90.0,27.0,18.0,47.0,8.0,42.0,30.0,2.0,70.0,8.0,Blizzards,44.0,44.0,24.0
dairy-queen,Large Smarties Blizzard,1130,330,36.0,23.0,0.0,100.0,540.0,191.0,3.0,166.0,26.0,55.0,115.0,33.0,23.0,64.0,12.0,52.0,40.0,2.0,90.0,15.0,Blizzards,58.0,58.0,32.0
dairy-queen,Mini Strawberry Cheesecake Blizzard,310,110,12.0,8.0,0.1,45.0,210.0,47.0,0.0,38.0,9.0,18.0,40.0,15.0,9.0,16.0,0.0,18.0,0.0,6.0,25.0,2.0,Blizzards,15.0,15.0,9.0
dairy-queen,Small Strawberry Cheesecake Blizzard,500,180,20.0,12.0,0.2,75.0,340.0,76.0,1.0,62.0,14.0,31.0,60.0,25.0,14.0,25.0,4.0,28.0,0.0,15.0,40.0,2.0,Blizzards,25.0,25.0,15.0
dairy-queen,Medium Strawberry Cheesecake Blizzard,670,240,26.0,16.0,0.4,100.0,450.0,101.0,1.0,83.0,17.0,40.0,80.0,33.0,19.0,34.0,4.0,34.0,0.0,35.0,45.0,4.0,Blizzards,33.0,33.0,19.0
dairy-queen,Large Strawberry Cheesecake Blizzard,890,320,35.0,21.0,0.5,135.0,590.0,136.0,2.0,111.0,23.0,54.0,105.0,45.0,25.0,45.0,8.0,46.0,0.0,50.0,60.0,4.0,Blizzards,44.0,44.0,26.0
dairy-queen,Mini Turtles with Pecans Blizzard,380,160,18.0,9.0,0.0,35.0,210.0,52.0,1.0,43.0,9.0,28.0,45.0,12.0,9.0,17.0,4.0,18.0,0.0,0.0,25.0,2.0,Blizzards,18.0,18.0,11.0
dairy-queen,Small Turtles with Pecans Blizzard,680,290,33.0,17.0,0.1,60.0,370.0,91.0,1.0,74.0,16.0,51.0,85.0,20.0,15.0,30.0,4.0,32.0,0.0,0.0,45.0,6.0,Blizzards,33.0,33.0,20.0
dairy-queen,Medium Turtles with Pecans Blizzard,950,410,46.0,23.0,0.1,80.0,500.0,127.0,2.0,102.0,21.0,71.0,115.0,27.0,21.0,42.0,8.0,42.0,0.0,2.0,60.0,8.0,Blizzards,45.0,45.0,27.0
dairy-queen,Large Turtles with Pecans Blizzard,1260,540,60.0,30.0,0.2,105.0,660.0,169.0,3.0,136.0,27.0,92.0,150.0,35.0,28.0,56.0,12.0,54.0,0.0,2.0,80.0,10.0,Blizzards,60.0,60.0,36.0
dairy-queen,Mini Very Cherry Chip Blizzard,310,100,12.0,8.0,0.0,35.0,170.0,50.0,1.0,42.0,8.0,18.0,40.0,12.0,7.0,17.0,4.0,16.0,0.0,0.0,0.0,0.0,Blizzards,16.0,16.0,9.0
dairy-queen,Small Very Cherry Chip Blizzard,540,180,20.0,14.0,0.0,55.0,290.0,87.0,1.0,73.0,14.0,31.0,70.0,18.0,12.0,29.0,4.0,28.0,0.0,0.0,0.0,0.0,Blizzards,28.0,28.0,16.0
dairy-queen,Medium Very Cherry Chip Blizzard,720,240,27.0,19.0,0.0,75.0,380.0,117.0,2.0,98.0,18.0,42.0,95.0,25.0,16.0,39.0,8.0,36.0,0.0,0.0,0.0,0.0,Blizzards,37.0,37.0,21.0
dairy-queen,Large Very Cherry Chip Blizzard,910,310,34.0,24.0,0.0,90.0,470.0,147.0,2.0,124.0,23.0,52.0,120.0,30.0,20.0,49.0,8.0,46.0,0.0,0.0,0.0,0.0,Blizzards,47.0,47.0,27.0
dairy-queen,Double Bacon Two Cheese Deluxe Stackburger,700,380,43.0,17.0,1.5,130.0,1590.0,34.0,2.0,5.0,45.0,66.0,85.0,43.0,66.0,11.0,8.0,90.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,22.0,22.0,19.0
dairy-queen,Triple Bacon Two Cheese Deluxe Stackburger,900,510,57.0,23.0,2.0,185.0,1960.0,35.0,2.0,6.0,61.0,88.0,115.0,62.0,82.0,12.0,8.0,122.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,28.0,28.0,24.0
dairy-queen,1/2 lb Cheese GrillBurger,820,430,48.0,20.0,1.5,170.0,940.0,45.0,2.0,11.0,53.0,74.0,100.0,57.0,39.0,15.0,8.0,106.0,0.0,8.0,30.0,20.0,Burgers and Sandwiches,26.0,26.0,22.0
dairy-queen,Cheeseburger,380,150,16.0,8.0,0.5,60.0,730.0,34.0,2.0,6.0,23.0,25.0,40.0,20.0,30.0,11.0,8.0,46.0,0.0,0.0,10.0,15.0,Burgers and Sandwiches,12.0,12.0,10.0
dairy-queen,Crispy Chicken Sandwich,500,230,25.0,3.5,0.3,60.0,1160.0,45.0,3.0,4.0,23.0,38.0,18.0,20.0,48.0,15.0,12.0,46.0,0.0,6.0,8.0,20.0,Burgers and Sandwiches,13.0,14.0,13.0
dairy-queen,Double Cheeseburger,540,240,27.0,12.0,1.0,105.0,730.0,35.0,2.0,6.0,38.0,42.0,60.0,35.0,30.0,12.0,8.0,76.0,0.0,0.0,10.0,15.0,Burgers and Sandwiches,17.0,17.0,14.0
dairy-queen,Double FlameThrower Stackburger,740,440,48.0,17.0,1.0,135.0,1580.0,33.0,2.0,5.0,44.0,74.0,85.0,45.0,66.0,11.0,8.0,88.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,23.0,23.0,20.0
dairy-queen,Triple FlameThrower Stackburger,930,570,63.0,24.0,2.0,190.0,2020.0,34.0,2.0,5.0,61.0,97.0,120.0,63.0,84.0,11.0,8.0,122.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,29.0,29.0,25.0
dairy-queen,Grilled Chicken Sandwich,420,140,15.0,2.5,0.3,35.0,1080.0,44.0,3.0,3.0,24.0,23.0,13.0,12.0,45.0,15.0,12.0,48.0,0.0,10.0,4.0,25.0,Burgers and Sandwiches,10.0,11.0,11.0
dairy-queen,Double Loaded Steakhouse Stackburger,820,440,49.0,19.0,1.5,145.0,1430.0,45.0,2.0,7.0,49.0,75.0,95.0,48.0,60.0,15.0,8.0,98.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,26.0,26.0,22.0
dairy-queen,Triple Loaded Steakhouse Stackburger,1020,570,63.0,26.0,2.0,205.0,1630.0,46.0,2.0,7.0,67.0,97.0,130.0,68.0,68.0,15.0,8.0,134.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,32.0,32.0,27.0
dairy-queen,Double Mushroom Cheeseburger Stackburger,600,320,35.0,14.0,1.5,110.0,1030.0,32.0,1.0,4.0,38.0,54.0,70.0,37.0,43.0,11.0,4.0,76.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,19.0,19.0,16.0
dairy-queen,Triple Mushroom Cheeseburger Stackburger,790,440,49.0,20.0,2.0,165.0,1370.0,33.0,1.0,5.0,55.0,75.0,100.0,55.0,57.0,11.0,4.0,110.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,25.0,25.0,21.0
dairy-queen,Double Two Cheese Deluxe Stackburger,610,320,36.0,14.0,1.5,110.0,1250.0,34.0,2.0,6.0,38.0,55.0,70.0,37.0,52.0,11.0,8.0,76.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,19.0,19.0,16.0
dairy-queen,Triple Two Cheese Deluxe Stackburger,810,450,50.0,21.0,2.0,165.0,1630.0,35.0,2.0,6.0,55.0,77.0,105.0,55.0,68.0,12.0,8.0,110.0,0.0,0.0,0.0,0.0,Burgers and Sandwiches,26.0,26.0,22.0
dairy-queen,Ultimate GrillBurger,650,340,38.0,13.0,1.0,105.0,1140.0,43.0,2.0,10.0,35.0,58.0,65.0,35.0,48.0,14.0,8.0,70.0,0.0,8.0,20.0,20.0,Burgers and Sandwiches,21.0,21.0,17.0
dairy-queen,4 Piece Chicken Strip Basket,850,350,39.0,7.0,0.1,60.0,1860.0,91.0,6.0,2.0,31.0,60.0,35.0,20.0,78.0,30.0,24.0,62.0,0.0,0.0,4.0,20.0,Chicken Strips,23.0,25.0,22.0
dairy-queen,6 piece Chicken Strip Basket,1130,470,53.0,9.0,0.1,85.0,2490.0,119.0,7.0,3.0,44.0,82.0,45.0,28.0,104.0,40.0,28.0,88.0,0.0,0.0,6.0,25.0,Chicken Strips,30.0,33.0,30.0
dairy-queen,4 Piece Honey BBQ Glazed Chicken Strip Basket,860,310,34.0,2.5,0.2,65.0,2500.0,108.0,6.0,26.0,33.0,52.0,13.0,22.0,104.0,36.0,24.0,66.0,0.0,50.0,4.0,25.0,Chicken Strips,24.0,27.0,23.0
dairy-queen,6 piece Honey BBQ Glazed Chicken Strip Basket,1160,410,45.0,3.5,0.2,100.0,3390.0,141.0,7.0,41.0,47.0,69.0,18.0,33.0,141.0,47.0,28.0,94.0,0.0,50.0,6.0,35.0,Chicken Strips,34.0,37.0,31.0
dairy-queen,6 Piece Rotisserie-Style Chicken Bites,150,50,6.0,1.0,0.0,85.0,720.0,3.0,0.0,1.0,22.0,9.0,5.0,28.0,30.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,Chicken Strips,1.0,3.0,4.0
dairy-queen,8 Piece Rotisserie-Style Chicken Bites,200,70,7.0,1.0,0.0,115.0,950.0,3.0,0.0,1.0,30.0,11.0,5.0,38.0,40.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,Chicken Strips,2.0,4.0,5.0
dairy-queen,6 Piece Rotisserie-Style Chicken Bites Basket,430,150,17.0,1.5,0.1,90.0,1490.0,46.0,4.0,1.0,25.0,26.0,8.0,30.0,62.0,15.0,16.0,50.0,0.0,0.0,0.0,0.0,Chicken Strips,10.0,11.0,11.0
dairy-queen,8 Piece Rotisserie-Style Chicken Bites Basket,480,170,19.0,2.0,0.1,120.0,1720.0,47.0,4.0,1.0,33.0,29.0,10.0,40.0,72.0,16.0,16.0,66.0,0.0,0.0,0.0,0.0,Chicken Strips,10.0,12.0,13.0
dairy-queen,Kids Chocolate Dipped Ice Cream Cone,210,80,9.0,7.0,0.0,20.0,105.0,31.0,0.0,20.0,5.0,14.0,35.0,7.0,4.0,10.0,0.0,10.0,0.0,0.0,15.0,4.0,Ice Cream Cones,10.0,10.0,6.0
dairy-queen,Small Chocolate Dipped Ice Cream Cone,320,140,16.0,12.0,0.0,25.0,150.0,43.0,1.0,31.0,7.0,25.0,60.0,8.0,6.0,14.0,4.0,14.0,0.0,0.0,20.0,6.0,Ice Cream Cones,16.0,16.0,9.0
dairy-queen,Medium Chocolate Dipped Ice Cream Cone,460,200,23.0,18.0,0.0,35.0,210.0,62.0,1.0,44.0,10.0,35.0,90.0,12.0,9.0,21.0,4.0,20.0,0.0,0.0,25.0,10.0,Ice Cream Cones,23.0,23.0,13.0
dairy-queen,Large Chocolate Dipped Ice Cream Cone,640,280,31.0,24.0,0.0,55.0,300.0,86.0,1.0,62.0,14.0,48.0,120.0,18.0,13.0,29.0,4.0,28.0,0.0,0.0,40.0,10.0,Ice Cream Cones,32.0,32.0,19.0
dairy-queen,Kids Fruity Blast Dipped Cone,210,80,9.0,7.0,0.0,20.0,105.0,31.0,0.0,21.0,5.0,14.0,35.0,7.0,4.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,Ice Cream Cones,10.0,10.0,6.0
dairy-queen,Small Fruity Blast Dipped Cone,330,140,16.0,12.0,0.0,25.0,150.0,44.0,0.0,32.0,7.0,25.0,60.0,8.0,6.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,Ice Cream Cones,16.0,16.0,10.0
dairy-queen,Medium Fruity Blast Dipped Cone,470,200,23.0,18.0,0.0,35.0,210.0,62.0,0.0,46.0,10.0,35.0,90.0,12.0,9.0,21.0,0.0,20.0,0.0,0.0,0.0,0.0,Ice Cream Cones,24.0,24.0,14.0
dairy-queen,Large Fruity Blast Dipped Cone,640,280,31.0,25.0,0.0,55.0,290.0,87.0,0.0,64.0,14.0,48.0,125.0,18.0,12.0,29.0,0.0,28.0,0.0,0.0,0.0,0.0,Ice Cream Cones,33.0,33.0,19.0
dairy-queen,Kids Vanilla Ice Cream Cone,170,45,5.0,3.5,0.0,20.0,100.0,28.0,0.0,18.0,5.0,8.0,18.0,7.0,4.0,9.0,0.0,10.0,8.0,0.0,15.0,2.0,Ice Cream Cones,8.0,8.0,5.0
dairy-queen,Small Vanilla Ice Cream Cone,230,70,7.0,5.0,0.0,25.0,140.0,38.0,0.0,27.0,7.0,11.0,25.0,8.0,6.0,13.0,0.0,14.0,0.0,0.0,20.0,2.0,Ice Cream Cones,11.0,11.0,7.0
dairy-queen,Medium Vanilla Ice Cream Cone,320,90,10.0,7.0,0.0,35.0,200.0,54.0,0.0,37.0,10.0,15.0,35.0,12.0,8.0,18.0,0.0,20.0,0.0,0.0,25.0,4.0,Ice Cream Cones,15.0,15.0,9.0
dairy-queen,Large Vanilla Ice Cream Cone,460,130,15.0,10.0,0.0,55.0,280.0,76.0,0.0,53.0,14.0,23.0,50.0,18.0,12.0,25.0,0.0,28.0,0.0,0.0,40.0,6.0,Ice Cream Cones,22.0,22.0,13.0
dairy-queen,Small Blue Raspberry Misty Slush,200,1,0.2,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,12.0,12.0,5.0
dairy-queen,Meidum Blue Raspberry Misty Slush,260,2,0.2,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,16.0,16.0,7.0
dairy-queen,Large Blue Raspberry Misty Slush,340,2,0.3,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Misty Slush,21.0,21.0,9.0
